iso3_country,start_time,end_time,original_inventory_sector,gas,location,total_emission,year
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,bauxite-mining,n2o,Eastern Cape,0,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,bauxite-mining,co2,Eastern Cape,0,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,bauxite-mining,ch4,Eastern Cape,0,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,bauxite-mining,co2e_20yr,Eastern Cape,0,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,cement,n2o,Eastern Cape,0,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,cement,co2,Eastern Cape,32316.2848629914,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,cement,ch4,Eastern Cape,0,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,cement,co2e_20yr,Eastern Cape,32316.2848629914,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,coal-mining,n2o,Eastern Cape,0,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,coal-mining,co2,Eastern Cape,0.00055839972105697,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,coal-mining,ch4,Eastern Cape,0,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,coal-mining,co2e_20yr,Eastern Cape,0,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,copper-mining,n2o,Eastern Cape,0,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,copper-mining,co2,Eastern Cape,0,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,copper-mining,ch4,Eastern Cape,0,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,copper-mining,co2e_20yr,Eastern Cape,0,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,cropland-fires,n2o,Eastern Cape,0.528446645616681,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,cropland-fires,co2,Eastern Cape,11437.0952986653,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,cropland-fires,ch4,Eastern Cape,20.3829407753079,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,cropland-fires,co2e_20yr,Eastern Cape,13236.4549380195,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,domestic-aviation,n2o,Eastern Cape,0.216081576790259,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,domestic-aviation,co2,Eastern Cape,7706.74698258714,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,domestic-aviation,ch4,Eastern Cape,0.0540203941975638,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,domestic-aviation,co2e_20yr,Eastern Cape,7770.1781858127,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,electricity-generation,n2o,Eastern Cape,0,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,electricity-generation,co2,Eastern Cape,39920,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,electricity-generation,ch4,Eastern Cape,0,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,electricity-generation,co2e_20yr,Eastern Cape,39920,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,international-aviation,n2o,Eastern Cape,0,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,international-aviation,co2,Eastern Cape,0,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,international-aviation,ch4,Eastern Cape,0,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,international-aviation,co2e_20yr,Eastern Cape,0.253152334810152,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,iron-mining,n2o,Eastern Cape,0,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,iron-mining,co2,Eastern Cape,0,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,iron-mining,ch4,Eastern Cape,0,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,iron-mining,co2e_20yr,Eastern Cape,0,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,oil-and-gas-refining,n2o,Eastern Cape,0,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,oil-and-gas-refining,co2,Eastern Cape,0,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,oil-and-gas-refining,ch4,Eastern Cape,0,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,oil-and-gas-refining,co2e_20yr,Eastern Cape,42.7752559504534,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,rice-cultivation,n2o,Eastern Cape,0,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,rice-cultivation,co2,Eastern Cape,0,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,rice-cultivation,ch4,Eastern Cape,0.36804527483716,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,rice-cultivation,co2e_20yr,Eastern Cape,29.7380582068426,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,road-transportation,n2o,Eastern Cape,14.9362516634197,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,road-transportation,co2,Eastern Cape,1062211.11515426,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,road-transportation,ch4,Eastern Cape,20.1234243299151,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,road-transportation,co2e_20yr,Eastern Cape,1067931.51656426,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,solid-waste-disposal,n2o,Eastern Cape,0,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,solid-waste-disposal,co2,Eastern Cape,0,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,solid-waste-disposal,ch4,Eastern Cape,4879.54752772157,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,solid-waste-disposal,co2e_20yr,Eastern Cape,396218.665446894,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,synthetic-fertilizer-application,n2o,Eastern Cape,65.7949192991138,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,synthetic-fertilizer-application,co2,Eastern Cape,0,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,synthetic-fertilizer-application,ch4,Eastern Cape,0,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,synthetic-fertilizer-application,co2e_20yr,Eastern Cape,17962.0129686581,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,wetland-fires,n2o,Eastern Cape,0,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,wetland-fires,co2,Eastern Cape,132.55112,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,wetland-fires,ch4,Eastern Cape,0,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,wetland-fires,co2e_20yr,Eastern Cape,132.55112,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,aluminum,n2o,Eastern Cape,0,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,aluminum,co2,Eastern Cape,84.5625429556969,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,aluminum,ch4,Eastern Cape,0,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,aluminum,co2e_20yr,Eastern Cape,84.5625429556968,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,fluorinated-gases,n2o,Eastern Cape,0,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,fluorinated-gases,co2,Eastern Cape,0,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,fluorinated-gases,ch4,Eastern Cape,0,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,fluorinated-gases,co2e_20yr,Eastern Cape,202852.253385656,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,sand-quarrying,n2o,Eastern Cape,0,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,sand-quarrying,co2,Eastern Cape,1.21012646562365,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,sand-quarrying,ch4,Eastern Cape,0,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,sand-quarrying,co2e_20yr,Eastern Cape,1.21012646562365,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,rock-quarrying,n2o,Eastern Cape,0,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,rock-quarrying,co2,Eastern Cape,0.484050586249462,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,rock-quarrying,ch4,Eastern Cape,0,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,rock-quarrying,co2e_20yr,Eastern Cape,0.484050586249462,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,forest-land-clearing,n2o,Eastern Cape,0,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,forest-land-clearing,co2,Eastern Cape,371202.38631,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,forest-land-clearing,ch4,Eastern Cape,0,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,forest-land-clearing,co2e_20yr,Eastern Cape,371202.38631,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,pulp-and-paper,n2o,Eastern Cape,0,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,pulp-and-paper,co2,Eastern Cape,1904.6377327006,2023
ZAF,2023-01-01T00:00:00Z,2023-01-31T00:00:00Z,pulp-and-paper,ch4,Eastern Cape,0,2023
