iso3_country,start_time,end_time,original_inventory_sector,gas,location,total_emission,year
ZAF,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,bauxite-mining,n2o,Eastern Cape,0,2021
ZAF,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,bauxite-mining,co2,Eastern Cape,0,2021
ZAF,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,bauxite-mining,ch4,Eastern Cape,0,2021
ZAF,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,bauxite-mining,co2e_20yr,Eastern Cape,0,2021
ZAF,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,cement,n2o,Eastern Cape,0,2021
ZAF,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,cement,co2,Eastern Cape,33059.3026613108,2021
ZAF,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,cement,ch4,Eastern Cape,0,2021
ZAF,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,cement,co2e_20yr,Eastern Cape,33059.3026613108,2021
ZAF,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,coal-mining,n2o,Eastern Cape,0,2021
ZAF,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,coal-mining,co2,Eastern Cape,0.000559596935390937,2021
ZAF,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,coal-mining,ch4,Eastern Cape,0,2021
ZAF,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,coal-mining,co2e_20yr,Eastern Cape,0,2021
ZAF,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,copper-mining,n2o,Eastern Cape,0,2021
ZAF,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,copper-mining,co2,Eastern Cape,0,2021
ZAF,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,copper-mining,ch4,Eastern Cape,0,2021
ZAF,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,copper-mining,co2e_20yr,Eastern Cape,0,2021
ZAF,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,cropland-fires,n2o,Eastern Cape,0.539640926664201,2021
ZAF,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,cropland-fires,co2,Eastern Cape,11679.3748268931,2021
ZAF,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,cropland-fires,ch4,Eastern Cape,20.8147216768772,2021
ZAF,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,cropland-fires,co2e_20yr,Eastern Cape,13516.8511115569,2021
ZAF,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,domestic-aviation,n2o,Eastern Cape,0.186517082963267,2021
ZAF,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,domestic-aviation,co2,Eastern Cape,6652.30228175986,2021
ZAF,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,domestic-aviation,ch4,Eastern Cape,0.0466292707408165,2021
ZAF,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,domestic-aviation,co2e_20yr,Eastern Cape,6707.0501180158,2021
ZAF,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,electricity-generation,n2o,Eastern Cape,0,2021
ZAF,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,electricity-generation,co2,Eastern Cape,29598.8736106977,2021
ZAF,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,electricity-generation,ch4,Eastern Cape,0,2021
ZAF,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,electricity-generation,co2e_20yr,Eastern Cape,29598.8736106977,2021
ZAF,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,international-aviation,n2o,Eastern Cape,0,2021
ZAF,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,international-aviation,co2,Eastern Cape,0,2021
ZAF,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,international-aviation,ch4,Eastern Cape,0,2021
ZAF,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,international-aviation,co2e_20yr,Eastern Cape,0.105833798074103,2021
ZAF,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,iron-mining,n2o,Eastern Cape,0,2021
ZAF,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,iron-mining,co2,Eastern Cape,2778.96854726855,2021
ZAF,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,iron-mining,ch4,Eastern Cape,0,2021
ZAF,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,iron-mining,co2e_20yr,Eastern Cape,2778.96854726855,2021
ZAF,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,oil-and-gas-refining,n2o,Eastern Cape,0,2021
ZAF,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,oil-and-gas-refining,co2,Eastern Cape,0,2021
ZAF,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,oil-and-gas-refining,ch4,Eastern Cape,0,2021
ZAF,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,oil-and-gas-refining,co2e_20yr,Eastern Cape,44.798030009313,2021
ZAF,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,rice-cultivation,n2o,Eastern Cape,0,2021
ZAF,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,rice-cultivation,co2,Eastern Cape,0,2021
ZAF,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,rice-cultivation,ch4,Eastern Cape,0.36804527483716,2021
ZAF,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,rice-cultivation,co2e_20yr,Eastern Cape,29.7380582068426,2021
ZAF,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,road-transportation,n2o,Eastern Cape,13.9742554868311,2021
ZAF,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,road-transportation,co2,Eastern Cape,1033819.31870506,2021
ZAF,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,road-transportation,ch4,Eastern Cape,21.4572652348498,2021
ZAF,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,road-transportation,co2e_20yr,Eastern Cape,1039385.89303479,2021
