iso3_country,start_time,end_time,original_inventory_sector,gas,location,total_emission,year
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,bauxite-mining,n2o,Eastern Cape,0,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,bauxite-mining,co2,Eastern Cape,0,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,bauxite-mining,ch4,Eastern Cape,0,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,bauxite-mining,co2e_20yr,Eastern Cape,0,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,cement,n2o,Eastern Cape,0,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,cement,co2,Eastern Cape,33165.1516334741,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,cement,ch4,Eastern Cape,0,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,cement,co2e_20yr,Eastern Cape,33165.1516334741,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,coal-mining,n2o,Eastern Cape,0,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,coal-mining,co2,Eastern Cape,0.00055839972105697,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,coal-mining,ch4,Eastern Cape,0,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,coal-mining,co2e_20yr,Eastern Cape,0,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,copper-mining,n2o,Eastern Cape,0,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,copper-mining,co2,Eastern Cape,0,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,copper-mining,ch4,Eastern Cape,0,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,copper-mining,co2e_20yr,Eastern Cape,0,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,cropland-fires,n2o,Eastern Cape,0.528446645616681,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,cropland-fires,co2,Eastern Cape,11437.0952986653,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,cropland-fires,ch4,Eastern Cape,20.3829407753079,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,cropland-fires,co2e_20yr,Eastern Cape,13236.4549380195,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,domestic-aviation,n2o,Eastern Cape,0.297755986776079,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,domestic-aviation,co2,Eastern Cape,10619.7394832101,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,domestic-aviation,ch4,Eastern Cape,0.0744389966940189,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,domestic-aviation,co2e_20yr,Eastern Cape,10707.1389202467,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,electricity-generation,n2o,Eastern Cape,0,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,electricity-generation,co2,Eastern Cape,39920,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,electricity-generation,ch4,Eastern Cape,0,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,electricity-generation,co2e_20yr,Eastern Cape,39920,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,international-aviation,n2o,Eastern Cape,0,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,international-aviation,co2,Eastern Cape,0,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,international-aviation,ch4,Eastern Cape,0,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,international-aviation,co2e_20yr,Eastern Cape,0.271054246829905,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,iron-mining,n2o,Eastern Cape,0,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,iron-mining,co2,Eastern Cape,0,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,iron-mining,ch4,Eastern Cape,0,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,iron-mining,co2e_20yr,Eastern Cape,0,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,oil-and-gas-refining,n2o,Eastern Cape,0,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,oil-and-gas-refining,co2,Eastern Cape,0,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,oil-and-gas-refining,ch4,Eastern Cape,0,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,oil-and-gas-refining,co2e_20yr,Eastern Cape,42.7752559504534,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,rice-cultivation,n2o,Eastern Cape,0,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,rice-cultivation,co2,Eastern Cape,0,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,rice-cultivation,ch4,Eastern Cape,0.36804527483716,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,rice-cultivation,co2e_20yr,Eastern Cape,29.7380582068426,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,road-transportation,n2o,Eastern Cape,9.2489896143397,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,road-transportation,co2,Eastern Cape,1058001.65571596,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,road-transportation,ch4,Eastern Cape,22.0985157928839,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,road-transportation,co2e_20yr,Eastern Cape,1062331.23981607,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,solid-waste-disposal,n2o,Eastern Cape,0,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,solid-waste-disposal,co2,Eastern Cape,0,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,solid-waste-disposal,ch4,Eastern Cape,5033.79002507285,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,solid-waste-disposal,co2e_20yr,Eastern Cape,408743.13746167,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,synthetic-fertilizer-application,n2o,Eastern Cape,65.7949192991138,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,synthetic-fertilizer-application,co2,Eastern Cape,0,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,synthetic-fertilizer-application,ch4,Eastern Cape,0,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,synthetic-fertilizer-application,co2e_20yr,Eastern Cape,17962.0129686581,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,wetland-fires,n2o,Eastern Cape,0,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,wetland-fires,co2,Eastern Cape,132.55112,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,wetland-fires,ch4,Eastern Cape,0,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,wetland-fires,co2e_20yr,Eastern Cape,132.55112,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,aluminum,n2o,Eastern Cape,0,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,aluminum,co2,Eastern Cape,0,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,aluminum,ch4,Eastern Cape,0,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,aluminum,co2e_20yr,Eastern Cape,0,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,fluorinated-gases,n2o,Eastern Cape,0,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,fluorinated-gases,co2,Eastern Cape,0,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,fluorinated-gases,ch4,Eastern Cape,0,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,fluorinated-gases,co2e_20yr,Eastern Cape,202852.253385656,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,sand-quarrying,n2o,Eastern Cape,0,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,sand-quarrying,co2,Eastern Cape,1.21012646562366,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,sand-quarrying,ch4,Eastern Cape,0,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,sand-quarrying,co2e_20yr,Eastern Cape,1.21012646562365,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,rock-quarrying,n2o,Eastern Cape,0,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,rock-quarrying,co2,Eastern Cape,0.484050586249462,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,rock-quarrying,ch4,Eastern Cape,0,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,rock-quarrying,co2e_20yr,Eastern Cape,0.484050586249462,2024
ZAF,2024-01-01T00:00:00Z,2024-01-31T00:00:00Z,forest-land-clearing,n2o,Eastern Cape,0,2024
