iso3_country,start_time,end_time,original_inventory_sector,gas,location,total_emission,year
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,road-transportation,n2o,Eastern Cape,15.1854173956346,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,road-transportation,co2,Eastern Cape,1058447.26598671,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,road-transportation,ch4,Eastern Cape,21.6807771729256,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,road-transportation,co2e_20yr,Eastern Cape,1064362.57473504,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,solid-waste-disposal,n2o,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,solid-waste-disposal,co2,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,solid-waste-disposal,ch4,Eastern Cape,4730.03124021827,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,solid-waste-disposal,co2e_20yr,Eastern Cape,384077.961096629,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,synthetic-fertilizer-application,n2o,Eastern Cape,65.4273397504894,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,synthetic-fertilizer-application,co2,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,synthetic-fertilizer-application,ch4,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,synthetic-fertilizer-application,co2e_20yr,Eastern Cape,17861.6637518836,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,wetland-fires,n2o,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,wetland-fires,co2,Eastern Cape,246.713906416667,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,wetland-fires,ch4,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,wetland-fires,co2e_20yr,Eastern Cape,246.713906416667,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,aluminum,n2o,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,aluminum,co2,Eastern Cape,819.861874268373,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,aluminum,ch4,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,aluminum,co2e_20yr,Eastern Cape,819.861874268373,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,fluorinated-gases,n2o,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,fluorinated-gases,co2,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,fluorinated-gases,ch4,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,fluorinated-gases,co2e_20yr,Eastern Cape,202852.253385656,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,sand-quarrying,n2o,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,sand-quarrying,co2,Eastern Cape,1.22222773027989,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,sand-quarrying,ch4,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,sand-quarrying,co2e_20yr,Eastern Cape,1.22222773027989,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,rock-quarrying,n2o,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,rock-quarrying,co2,Eastern Cape,0.484050586249462,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,rock-quarrying,ch4,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,rock-quarrying,co2e_20yr,Eastern Cape,0.484050586249462,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,forest-land-clearing,n2o,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,forest-land-clearing,co2,Eastern Cape,212434.9975,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,forest-land-clearing,ch4,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,forest-land-clearing,co2e_20yr,Eastern Cape,212434.9975,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,pulp-and-paper,n2o,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,pulp-and-paper,co2,Eastern Cape,1904.6377327006,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,pulp-and-paper,ch4,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,pulp-and-paper,co2e_20yr,Eastern Cape,1904.6377327006,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,solid-fuel-transformation,n2o,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,solid-fuel-transformation,co2,Eastern Cape,47877.6943755169,2022
